#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 140  64
# Band-Index    1
   3.14512    -15.052851    -15.071780
   3.11324    -15.080889    -15.098708
   3.08137    -15.108084    -15.124867
   3.04950    -15.133175    -15.149051
   3.01763    -15.154299    -15.169461
   2.98575    -15.168869    -15.183578
   2.95388    -15.174151    -15.188705
   2.95388    -15.173975    -15.188536
   2.92201    -15.168696    -15.183411
   2.89013    -15.154130    -15.169298
   2.85826    -15.133012    -15.148893
   2.82638    -15.107925    -15.124713
   2.79451    -15.080732    -15.098556
   2.76263    -15.052696    -15.071628
   2.73076    -15.024682    -15.044754
   2.69888    -14.997311    -15.018521
   2.66701    -14.971057    -14.993379
   2.63513    -14.946307    -14.969691
   2.60326    -14.923370    -14.947749
   2.57139    -14.902521    -14.927813
   2.53951    -14.883992    -14.910743
   2.50764    -14.885862    -14.915241
   2.47576    -14.889571    -14.919113
   2.44389    -14.892540    -14.922198
   2.41201    -14.894702    -14.924440
   2.38014    -14.896015    -14.925799
   2.34826    -14.896458    -14.926258
   2.34826    -14.896458    -14.926258
   2.29400    -14.895136    -14.924889
   2.23974    -14.891253    -14.920861
   2.18547    -14.885062    -14.914397
   2.13121    -14.899688    -14.925008
   2.07695    -14.935279    -14.958949
   2.02269    -14.975951    -14.997720
   1.96842    -15.020417    -15.040102
   1.91416    -15.067343    -15.084834
   1.85990    -15.115392    -15.130650
   1.80563    -15.163256    -15.176309
   1.75137    -15.209683    -15.220618
   1.69711    -15.253514    -15.262470
   1.64284    -15.266081    -15.274489
   1.58858    -15.232854    -15.242959
   1.53432    -15.207839    -15.219489
   1.48005    -15.190714    -15.203658
   1.42579    -15.180142    -15.194041
   1.37153    -15.174575    -15.189048
   1.31726    -15.172855    -15.187518
   1.31726    -14.896453    -14.926252
   1.31002    -14.896453    -14.926251
   1.30277    -14.896455    -14.926254
   1.29553    -14.896456    -14.926256
   1.28828    -14.896457    -14.926257
   1.28103    -14.896456    -14.926256
   1.27379    -14.896455    -14.926256
   1.26654    -14.896456    -14.926256
   1.25929    -14.896456    -14.926257
   1.25205    -14.896456    -14.926256
   1.24480    -14.896456    -14.926256
   1.23756    -14.896456    -14.926256
   1.23031    -14.896456    -14.926256
   1.22306    -14.896455    -14.926255
   1.21582    -14.896453    -14.926253
   1.20857    -14.896454    -14.926254
   1.20133    -14.896455    -14.926254
   1.19408    -14.896456    -14.926256
   1.18683    -14.896458    -14.926257
   1.17959    -14.896458    -14.926258
   1.17959    -14.896458    -14.926258
   1.14854    -14.896015    -14.925798
   1.11750    -14.894704    -14.924441
   1.08646    -14.892540    -14.922198
   1.05542    -14.889570    -14.919111
   1.02437    -14.885863    -14.915242
   0.99333    -14.883993    -14.910743
   0.96229    -14.902519    -14.927811
   0.93125    -14.923373    -14.947752
   0.90020    -14.946310    -14.969694
   0.86916    -14.971058    -14.993380
   0.83812    -14.997306    -15.018517
   0.80708    -15.024678    -15.044750
   0.77603    -15.052694    -15.071627
   0.74499    -15.080731    -15.098555
   0.71395    -15.107928    -15.124717
   0.68290    -15.133019    -15.148900
   0.65186    -15.154136    -15.169304
   0.62082    -15.168697    -15.183411
   0.58978    -15.173974    -15.188533
   0.58978    -15.174149    -15.188702
   0.55874    -15.168870    -15.183578
   0.52769    -15.154304    -15.169466
   0.49665    -15.133182    -15.149058
   0.46561    -15.108088    -15.124871
   0.43457    -15.080887    -15.098707
   0.40353    -15.052850    -15.071778
   0.37249    -15.024833    -15.044901
   0.34145    -14.997461    -15.018668
   0.31041    -14.971213    -14.993532
   0.27937    -14.946465    -14.969847
   0.24833    -14.923529    -14.947904
   0.21729    -14.902676    -14.927965
   0.18625    -14.884153    -14.910766
   0.15520    -14.885860    -14.915241
   0.12416    -14.889569    -14.919111
   0.09312    -14.892539    -14.922198
   0.06208    -14.894703    -14.924441
   0.03104    -14.896015    -14.925798
   0.00000    -14.896458    -14.926258
 
# Band-Index    3
   0.00000    -14.830685    -14.859230
   0.03104    -14.832033    -14.860472
   0.06208    -14.836611    -14.864834
   0.09312    -14.844218    -14.872099
   0.12416    -14.854754    -14.882164
   0.15520    -14.868110    -14.894926
   0.18625    -14.881506    -14.910159
   0.21729    -14.876758    -14.905616
   0.24833    -14.871970    -14.900407
   0.27937    -14.867951    -14.895878
   0.31041    -14.865851    -14.893478
   0.34145    -14.865992    -14.893740
   0.37249    -14.867485    -14.895481
   0.40353    -14.869481    -14.897690
   0.43457    -14.871525    -14.899896
   0.46561    -14.873388    -14.901880
   0.49665    -14.874933    -14.903513
   0.52769    -14.876086    -14.904725
   0.55874    -14.876796    -14.905470
   0.58978    -14.877034    -14.905720
   0.58978    -14.877233    -14.905915
   0.62082    -14.876995    -14.905665
   0.65186    -14.876284    -14.904920
   0.68290    -14.875130    -14.903706
   0.71395    -14.873582    -14.902071
   0.74499    -14.871717    -14.900086
   0.77603    -14.869668    -14.897875
   0.80708    -14.867662    -14.895658
   0.83812    -14.866151    -14.893899
   0.86916    -14.865972    -14.893597
   0.90020    -14.868021    -14.895940
   0.93125    -14.872004    -14.900435
   0.96229    -14.876774    -14.905628
   0.99333    -14.881515    -14.910032
   1.02437    -14.867952    -14.894771
