kpoint_index,kpoint_label,kpoint_distance,band_index,energy_eV,spin
1,,0.0310408828023437,42,4.0677,1
1,,0.0310408828023437,1,-19.9186,-1
1,,0.0310408828023437,2,-19.1283,-1
1,,0.0310408828023437,3,-19.0629,-1
1,,0.0310408828023437,4,-19.0617,-1
1,,0.0310408828023437,5,-18.9105,-1
1,,0.0310408828023437,6,-18.9104,-1
1,,0.0310408828023437,7,-9.4439,-1
1,,0.0310408828023437,8,-8.9239,-1
1,,0.0310408828023437,9,-8.5588,-1
1,,0.0310408828023437,10,-8.5545,-1
1,,0.0310408828023437,11,-8.4034,-1
1,,0.0310408828023437,12,-8.392,-1
1,,0.0310408828023437,13,-8.248,-1
1,,0.0310408828023437,14,-7.8839,-1
1,,0.0310408828023437,15,-7.8804,-1
1,,0.0310408828023437,16,-7.3052,-1
1,,0.0310408828023437,17,-7.1422,-1
1,,0.0310408828023437,18,-7.1389,-1
1,,0.0310408828023437,19,-6.6599,-1
1,,0.0310408828023437,20,-6.4429,-1
1,,0.0310408828023437,21,-6.2106,-1
1,,0.0310408828023437,22,-6.2032,-1
1,,0.0310408828023437,23,-6.0711,-1
1,,0.0310408828023437,24,-6.0657,-1
1,,0.0310408828023437,25,-2.5854,-1
1,,0.0310408828023437,26,-2.5314,-1
1,,0.0310408828023437,27,-2.5261,-1
1,,0.0310408828023437,28,-2.4241,-1
1,,0.0310408828023437,29,-2.2941,-1
1,,0.0310408828023437,30,-2.2922,-1
1,,0.0310408828023437,31,-1.4442,-1
1,,0.0310408828023437,32,-1.4423,-1
1,,0.0310408828023437,33,-1.2937,-1
1,,0.0310408828023437,34,-1.2912,-1
1,,0.0310408828023437,35,1.0846,-1
1,,0.0310408828023437,36,1.6146,-1
1,,0.0310408828023437,37,2.0524,-1
1,,0.0310408828023437,38,2.7131,-1
1,,0.0310408828023437,39,2.868,-1
1,,0.0310408828023437,40,3.0936,-1
1,,0.0310408828023437,41,3.6505,-1
1,,0.0310408828023437,42,4.1548,-1
2,,0.0620817656046874,1,-19.9228,1
2,,0.0620817656046874,2,-19.0972,1
2,,0.0620817656046874,3,-19.0391,1
2,,0.0620817656046874,4,-19.0341,1
2,,0.0620817656046874,5,-18.8863,1
2,,0.0620817656046874,6,-18.8861,1
2,,0.0620817656046874,7,-9.6787,1
2,,0.0620817656046874,8,-9.1902,1
2,,0.0620817656046874,9,-8.7574,1
2,,0.0620817656046874,10,-8.7429,1
2,,0.0620817656046874,11,-8.703,1
2,,0.0620817656046874,12,-8.695,1
2,,0.0620817656046874,13,-8.3817,1
2,,0.0620817656046874,14,-8.3759,1
2,,0.0620817656046874,15,-8.3028,1
2,,0.0620817656046874,16,-7.5598,1
2,,0.0620817656046874,17,-7.522,1
2,,0.0620817656046874,18,-7.5035,1
2,,0.0620817656046874,19,-6.7059,1
2,,0.0620817656046874,20,-6.4793,1
2,,0.0620817656046874,21,-6.4086,1
2,,0.0620817656046874,22,-6.3498,1
2,,0.0620817656046874,23,-6.1726,1
2,,0.0620817656046874,24,-6.1474,1
2,,0.0620817656046874,25,-5.5293,1
2,,0.0620817656046874,26,-5.186,1
2,,0.0620817656046874,27,-5.1804,1
2,,0.0620817656046874,28,-5.0481,1
2,,0.0620817656046874,29,-4.9301,1
2,,0.0620817656046874,30,-4.927,1
2,,0.0620817656046874,31,-3.2323,1
2,,0.0620817656046874,32,-3.2294,1
2,,0.0620817656046874,33,-2.95,1
2,,0.0620817656046874,34,-2.9399,1
2,,0.0620817656046874,35,0.9629,1
2,,0.0620817656046874,36,1.5954,1
2,,0.0620817656046874,37,2.0359,1
2,,0.0620817656046874,38,2.55,1
2,,0.0620817656046874,39,2.7287,1
2,,0.0620817656046874,40,2.9952,1
2,,0.0620817656046874,41,3.0082,1
2,,0.0620817656046874,42,4.0758,1
2,,0.0620817656046874,1,-19.9148,-1
2,,0.0620817656046874,2,-19.1269,-1
2,,0.0620817656046874,3,-19.0673,-1
2,,0.0620817656046874,4,-19.0627,-1
2,,0.0620817656046874,5,-18.9111,-1
2,,0.0620817656046874,6,-18.9109,-1
2,,0.0620817656046874,7,-9.4431,-1
2,,0.0620817656046874,8,-8.9226,-1
2,,0.0620817656046874,9,-8.5595,-1
2,,0.0620817656046874,10,-8.544,-1
2,,0.0620817656046874,11,-8.4208,-1
2,,0.0620817656046874,12,-8.3972,-1
2,,0.0620817656046874,13,-8.226,-1
2,,0.0620817656046874,14,-7.8893,-1
2,,0.0620817656046874,15,-7.8819,-1
2,,0.0620817656046874,16,-7.2914,-1
2,,0.0620817656046874,17,-7.1419,-1
2,,0.0620817656046874,18,-7.1322,-1
2,,0.0620817656046874,19,-6.6581,-1
2,,0.0620817656046874,20,-6.4459,-1
2,,0.0620817656046874,21,-6.2152,-1
2,,0.0620817656046874,22,-6.1995,-1
2,,0.0620817656046874,23,-6.0928,-1
2,,0.0620817656046874,24,-6.0703,-1
2,,0.0620817656046874,25,-2.5954,-1
2,,0.0620817656046874,26,-2.5286,-1
2,,0.0620817656046874,27,-2.5121,-1
2,,0.0620817656046874,28,-2.4272,-1
2,,0.0620817656046874,29,-2.2955,-1
2,,0.0620817656046874,30,-2.2902,-1
2,,0.0620817656046874,31,-1.444,-1
2,,0.0620817656046874,32,-1.4419,-1
2,,0.0620817656046874,33,-1.3011,-1
2,,0.0620817656046874,34,-1.2925,-1
2,,0.0620817656046874,35,1.1025,-1
2,,0.0620817656046874,36,1.6264,-1
2,,0.0620817656046874,37,2.0645,-1
2,,0.0620817656046874,38,2.7335,-1
2,,0.0620817656046874,39,2.8836,-1
2,,0.0620817656046874,40,3.1116,-1
2,,0.0620817656046874,41,3.6457,-1
2,,0.0620817656046874,42,4.1649,-1
3,,0.0931226484070311,1,-19.9163,1
3,,0.0931226484070311,2,-19.095,1
3,,0.0931226484070311,3,-19.0467,1
3,,0.0931226484070311,4,-19.0356,1
3,,0.0931226484070311,5,-18.8874,1
3,,0.0931226484070311,6,-18.8868,1
3,,0.0931226484070311,7,-9.6767,1
3,,0.0931226484070311,8,-9.1872,1
3,,0.0931226484070311,9,-8.7597,1
3,,0.0931226484070311,10,-8.7265,1
3,,0.0931226484070311,11,-8.7117,1
3,,0.0931226484070311,12,-8.6966,1
3,,0.0931226484070311,13,-8.3857,1
3,,0.0931226484070311,14,-8.3722,1
3,,0.0931226484070311,15,-8.31,1
3,,0.0931226484070311,16,-7.5647,1
3,,0.0931226484070311,17,-7.4943,1
3,,0.0931226484070311,18,-7.475,1
3,,0.0931226484070311,19,-6.7107,1
3,,0.0931226484070311,20,-6.5072,1
3,,0.0931226484070311,21,-6.4274,1
3,,0.0931226484070311,22,-6.322,1
3,,0.0931226484070311,23,-6.2147,1
3,,0.0931226484070311,24,-6.1576,1
3,,0.0931226484070311,25,-5.5182,1
3,,0.0931226484070311,26,-5.1903,1
3,,0.0931226484070311,27,-5.1782,1
3,,0.0931226484070311,28,-5.0417,1
3,,0.0931226484070311,29,-4.9251,1
3,,0.0931226484070311,30,-4.9178,1
3,,0.0931226484070311,31,-3.2319,1
3,,0.0931226484070311,32,-3.2277,1
3,,0.0931226484070311,33,-2.9644,1
3,,0.0931226484070311,34,-2.9423,1
3,,0.0931226484070311,35,0.9952,1
3,,0.0931226484070311,36,1.6143,1
3,,0.0931226484070311,37,2.0563,1
3,,0.0931226484070311,38,2.59,1
3,,0.0931226484070311,39,2.7527,1
3,,0.0931226484070311,40,2.9923,1
3,,0.0931226484070311,41,3.0299,1
3,,0.0931226484070311,42,4.0863,1
3,,0.0931226484070311,1,-19.9085,-1
3,,0.0931226484070311,2,-19.1247,-1
3,,0.0931226484070311,3,-19.0746,-1
3,,0.0931226484070311,4,-19.0643,-1
3,,0.0931226484070311,5,-18.9121,-1
3,,0.0931226484070311,6,-18.9117,-1
3,,0.0931226484070311,7,-9.4416,-1
3,,0.0931226484070311,8,-8.9204,-1
3,,0.0931226484070311,9,-8.5618,-1
3,,0.0931226484070311,10,-8.5258,-1
3,,0.0931226484070311,11,-8.4433,-1
3,,0.0931226484070311,12,-8.4042,-1
3,,0.0931226484070311,13,-8.1966,-1
3,,0.0931226484070311,14,-7.8996,-1
3,,0.0931226484070311,15,-7.8827,-1
3,,0.0931226484070311,16,-7.2701,-1
3,,0.0931226484070311,17,-7.1419,-1
3,,0.0931226484070311,18,-7.1202,-1
3,,0.0931226484070311,19,-6.6555,-1
3,,0.0931226484070311,20,-6.4507,-1
3,,0.0931226484070311,21,-6.2244,-1
3,,0.0931226484070311,22,-6.1934,-1
3,,0.0931226484070311,23,-6.1271,-1
3,,0.0931226484070311,24,-6.077,-1
3,,0.0931226484070311,25,-2.6063,-1
3,,0.0931226484070311,26,-2.5242,-1
3,,0.0931226484070311,27,-2.4965,-1
3,,0.0931226484070311,28,-2.4305,-1
3,,0.0931226484070311,29,-2.2979,-1
3,,0.0931226484070311,30,-2.2869,-1
3,,0.0931226484070311,31,-1.4439,-1
3,,0.0931226484070311,32,-1.4411,-1
3,,0.0931226484070311,33,-1.313,-1
3,,0.0931226484070311,34,-1.2945,-1
3,,0.0931226484070311,35,1.1319,-1
3,,0.0931226484070311,36,1.6457,-1
3,,0.0931226484070311,37,2.0845,-1
3,,0.0931226484070311,38,2.7663,-1
3,,0.0931226484070311,39,2.9094,-1
3,,0.0931226484070311,40,3.1423,-1
3,,0.0931226484070311,41,3.6366,-1
3,,0.0931226484070311,42,4.1811,-1
4,,0.1241635312093748,1,-19.9072,1
4,,0.1241635312093748,2,-19.092,1
4,,0.1241635312093748,3,-19.0572,1
4,,0.1241635312093748,4,-19.0375,1
4,,0.1241635312093748,5,-18.8889,1
4,,0.1241635312093748,6,-18.8879,1
4,,0.1241635312093748,7,-9.6737,1
4,,0.1241635312093748,8,-9.1833,1
4,,0.1241635312093748,9,-8.7631,1
4,,0.1241635312093748,10,-8.7239,1
4,,0.1241635312093748,11,-8.7031,1
4,,0.1241635312093748,12,-8.6987,1
4,,0.1241635312093748,13,-8.3929,1
4,,0.1241635312093748,14,-8.3674,1
4,,0.1241635312093748,15,-8.3153,1
4,,0.1241635312093748,16,-7.5683,1
4,,0.1241635312093748,17,-7.458,1
4,,0.1241635312093748,18,-7.4402,1
4,,0.1241635312093748,19,-6.7193,1
4,,0.1241635312093748,20,-6.5343,1
4,,0.1241635312093748,21,-6.4528,1
4,,0.1241635312093748,22,-6.2943,1
4,,0.1241635312093748,23,-6.2695,1
4,,0.1241635312093748,24,-6.1697,1
4,,0.1241635312093748,25,-5.5039,1
4,,0.1241635312093748,26,-5.1969,1
4,,0.1241635312093748,27,-5.1762,1
