E,DOS_total,DOS_up,DOS_down
-4.8051,8.6863,8.6863,0.0
-4.7051,3.5987,3.5987,0.0
-4.6052,1.1765,1.1765,0.0
-4.5053,0.1372,0.1372,0.0
-4.4054,0.0032,0.0032,0.0
-4.3055,0.0,0.0,0.0
-4.2056,0.0,0.0,0.0
-4.1057,0.0,0.0,0.0
-4.0058,0.0,0.0,0.0
-3.9058,0.0,0.0,0.0
-3.8059,0.0,0.0,0.0
-3.706,0.0,0.0,0.0
-3.6061,0.0,0.0,0.0
-3.5062,0.0023,0.0023,0.0
-3.4063,0.1833,0.1833,0.0
-3.3064,2.9128,2.9128,0.0
-3.2065,10.1714,10.1714,0.0
-3.1066,9.6946,9.6946,0.0
-3.0066,6.9695,6.9695,0.0
-2.9067,6.9777000000000005,6.9687,0.009
-2.8068,3.2346000000000004,2.865,0.3696
-2.7069,3.4653,0.2634,3.2019
-2.607,8.0187,0.0044,8.0143
-2.5071,10.8604,0.0,10.8604
-2.4072,10.4692,0.0,10.4692
-2.3073,10.6435,0.0,10.6435
-2.2074,11.3684,0.0,11.3684
-2.1074,4.6153,0.0,4.6153
-2.0075,0.4908,0.0,0.4908
-1.9076,0.0107,0.0,0.0107
-1.8077,0.0001,0.0,0.0001
-1.7078,0.0104,0.0,0.0104
-1.6079,0.4324,0.0,0.4324
-1.508,4.5638,0.0,4.5638
-1.4081,13.6745,0.0,13.6745
-1.3082,13.8028,0.0,13.8028
-1.2082,6.4453,0.0,6.4453
-1.1083,1.0679,0.0,1.0679
-1.0084,0.0381,0.0,0.0381
-0.9085,0.0002,0.0,0.0002
-0.8086,0.0,0.0,0.0
-0.7087,0.0,0.0,0.0
-0.6088,0.0,0.0,0.0
-0.5089,0.0,0.0,0.0
-0.409,0.0,0.0,0.0
-0.309,0.0,0.0,0.0
-0.2091,0.0,0.0,0.0
-0.1092,0.0,0.0,0.0
-0.0093,0.0,0.0,0.0
0.0906,0.0,0.0,0.0
0.1905,0.0,0.0,0.0
0.2904,0.0,0.0,0.0
0.3903,0.0,0.0,0.0
0.4903,0.0,0.0,0.0
0.5902,0.0,0.0,0.0
0.6901,0.0005,0.0005,0.0
0.79,0.0427,0.0427,0.0
0.8899,0.5967,0.5883,0.0084
0.9898,1.8256000000000001,1.5827,0.2429
1.0897,2.4359,1.1564,1.2795
1.1896,2.1347,0.6088,1.5259
1.2895,1.2679,0.4742,0.7937
1.3895,0.9695,0.4333,0.5362
1.4894,1.2736999999999998,0.6815,0.5922
1.5893,3.2717,1.8094,1.4623
1.6892,4.2682,2.0573,2.2109
1.7891,2.8327999999999998,1.3147,1.5181
1.889,2.1447,1.0511,1.0936
1.9889,2.7816,1.4999,1.2817
2.0888,4.7761,2.4798,2.2963
2.1887,4.7094000000000005,2.2487,2.4607
2.2887,3.3133,1.6308,1.6825
2.3886,3.2973,1.9311,1.3662
2.4885,5.0195,3.4786,1.5409
2.5884,7.0199,4.7662,2.2537
2.6883,8.688400000000001,5.2144,3.474
2.7882,9.2578,5.2158,4.042
2.8881,8.983699999999999,4.4857,4.498
2.988,10.0702,5.6201,4.4501
3.0879,10.4151,6.0944,4.3207
3.1879,9.0141,4.7938,4.2203
3.2878,8.0243,4.1026,3.9217
3.3877,8.1801,3.9258,4.2543
3.4876,8.7212,4.1014,4.6198
3.5875,8.423200000000001,3.6852,4.738
3.6874,8.3909,3.2284,5.1625
3.7873,7.7839,3.4714,4.3125
3.8872,7.6213,3.9424,3.6789
3.9871,8.3312,4.5486,3.7826
4.0871,9.857099999999999,5.3468,4.5103
4.187,10.819199999999999,5.3001,5.5191
4.2869,10.725000000000001,4.8753,5.8497
4.3868,10.7324,5.3982,5.3342
4.4867,12.224699999999999,7.3416,4.8831
4.5866,13.057500000000001,8.0814,4.9761
4.6865,13.5546,8.2109,5.3437
4.7864,14.9417,7.09,7.8517
4.8864,16.1786,6.4068,9.7718
4.9863,15.0586,6.269,8.7896
5.0862,13.1406,6.4528,6.6878
5.1861,12.7294,5.9916,6.7378
5.286,13.949100000000001,6.5468,7.4023
5.3859,17.0179,9.1036,7.9143
5.4858,19.5024,10.0201,9.4823
5.5857,18.456699999999998,8.865,9.5917
5.6856,13.144300000000001,6.1211,7.0232
5.7856,10.9037,5.2402,5.6635
5.8855,12.7016,7.5569,5.1447
5.9854,17.0365,11.0,6.0365
6.0853,17.8219,8.3872,9.4347
6.1852,18.0839,7.8795,10.2044
6.2851,18.9165,10.1031,8.8134
6.385,18.8664,10.4659,8.4005
6.4849,15.188600000000001,7.41,7.7786
6.5848,13.3075,4.5175,8.79
6.6848,11.4113,2.6972,8.7141
6.7847,7.3018,2.4642,4.8376
6.8846,8.0643,4.5977,3.4666
6.9845,9.9333,4.6236,5.3097
7.0844,4.9875,1.408,3.5795
7.1843,1.5125000000000002,0.5925,0.92
7.2842,1.9083999999999999,0.9684,0.94
7.3841,1.3671,0.5814,0.7857
7.484,0.2342,0.0834,0.1508
7.584,0.008199999999999999,0.0024,0.0058
7.6839,0.0,0.0,0.0
7.7838,0.0,0.0,0.0
7.8837,0.0,0.0,0.0
7.9836,0.0,0.0,0.0
8.0835,0.0,0.0,0.0
8.1834,0.0,0.0,0.0
8.2833,0.0,0.0,0.0
8.3833,0.0,0.0,0.0
8.4832,0.0,0.0,0.0
8.5831,0.0,0.0,0.0
8.683,0.0,0.0,0.0
